RepDarrenSoto,b'Touching &amp; productive conversation w/ Florida student survivors of gun violence. We\xe2\x80\x99re listening. And agree we need ACTION to stop this epidemic! I stand with our young leaders in support of sensible gun laws. \n#NeverAgain https://t.co/gCiOtA6qeF',Democrat
RepJackyRosen,"b""Today, I met with the Nevada Radiological Society to discuss ways to improve our health care system. I'm committed to fighting for Nevadans\xe2\x80\x99 access to quality, affordable health care. https://t.co/OPW5sO5t65""",Democrat
RepAlLawsonJr,"b'Looking forward to speaking on the House Floor tonight about #EmancipationDay. Last weekend, I participated in several great community events that commemorated May 20 and the end of #slavery in #Florida. #EmancipationProclamation https://t.co/RR7Q1woxQE'",Democrat
RepEspaillat,b'Photos from today\xe2\x80\x99s reception in Washington DC honoring Jose Pena Gomez. Thank you to everyone who attended today\xe2\x80\x99s events hosted by @RepEspaillat https://t.co/Q9Mch3mxnb',Democrat
RepBRochester,"b'Today, I took part in a gun violence prevention forum and heard the stories of students who have lived through senseless acts of terror. I stand with these young Americans in calling on Congress to pass responsible gun laws and make real change that protects our students. https://t.co/3QoNc7cGSS'",Democrat
RepBarragan,"b'This Administration paints all immigrants as criminals, and that\xe2\x80\x99s just wrong. ICYMI: What I said yesterday to Customs and Border Protection officials during our Homeland Security hearing. https://t.co/rjReZOrQb8'",Democrat
RepTomSuozzi,b'Busy day in DC!\nPlease take a look at this video where I press Secretary of State Mike Pompeo on the need for a comprehensive civilian strategy in Pakistan &amp; Afghanistan.\n\nhttps://t.co/4Y4TGWa7c8',Democrat
RepRoKhanna,"b'It\xe2\x80\x99s time for a bold new jobs plan that gets Americans back to work. If the free market will not provide the jobs that Americans need, then the government should. https://t.co/J1g8xx1vXx'",Democrat
RepKihuen,"b'Today I participated in a gun violence prevention forum with Parkland students &amp; youth from communities across the country affected by gun violence. While heartbreaking to hear their testimony, we must continue the fight in Congress &amp; work to #EndGunViolence! #MSDStrong #1October https://t.co/jMPRXXH3L6'",Democrat
RepMcEachin,"b'Travel safely, friends. https://t.co/WFYxZC5MGL'",Democrat
RepCarbajal,"b'Today marks the anniversary of a tragedy in our own Central Coast community, when a gunman took the lives of 6 UCSB students in #IslaVista &amp; injured 14 others.\n \nWe must honor the victims w/ action, and protect our schoolchildren by passing legislation to prevent gun violence. https://t.co/jpw3ND7Mcc'",Democrat
RepCharlieCrist,"b'Our responsibility to keep students safe goes beyond the classroom \xe2\x80\x93 must also provide safe transportation to &amp; from school. Thankful @NTSB now recommending bus seat belts. We made progress in FL, the BUS Belts Act would enhance protections nationwide! https://t.co/5CZIh0PeLn'",Democrat
RepLouCorrea,b'Watch Rep. Correa on the House Floor now! https://t.co/oHvtf12pG9',Democrat
RepJayapal,"b'This is a legacy to be proud of and one that we should build upon. We need to be working to make it easier\xe2\x80\x94not harder\xe2\x80\x94for workers to join unions\xe2\x80\x94to collectively bargain for fair wages, safe working conditions and health care.'",Democrat
RepJoshG,"b""Now it's off to court, where I'm sure we will be joined by the 33 other states, mostly Moocher States, currently utilizing the provision.""",Democrat
CongressmanRaja,"b'Martin Luther King Jr. said that, ""Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that."" Somtetimes to recover from tragedy, we need the most loving souls in the universe. https://t.co/0u4z1uscJg'",Democrat
RepOHalleran,b'@RepRickLarsen I really wish I would have seen this article a few years sooner...',Democrat
RepRaskin,"b'If your DACA status expired on or after September 5, 2016, you may submit a #DACA renewal application. Apply with USCIS \xe2\x86\x92 https://t.co/iupsX2FiTB'",Democrat
RepValDemings,"b'As a member of the @HouseGVP, I am meeting today with dozens of Florida students, including students from Marjory Stoneman Douglas in #Parkland. Their insight and experience is powerful. We should all listen. #EnoughisEnough #GunControlNow https://t.co/0CF7uuluiu'",Democrat
RepJimmyPanetta,b'You can still apply to renew your #DACA if you meet the requirements. Click here \xe2\x86\x92 https://t.co/2KwJlMWOIl',Democrat
RepStephMurphy,"b""STARTING NOW! --&gt; Please join our third and final telephone town hall tonight by dialing 1-866-383-2729. I'm standing by ready to take your questions! #FL07 #FlaPol #sayfie""",Democrat
DonaldNorcross,"b'""I hope that the voices of the victimized will be enough to attempt to make a change, for it is clear that changes need to be made.\xe2\x80\x9d\n- Eliana Puschett  |  Camden, NJ  |  #FosterYouthVoices\n\nhttps://t.co/yLewaPSdPY'",Democrat
RepTedLieu,"b'ICYMI: Watch @RepTedLieu question @SecPompeo about @realDonaldTrump\'s comments about a ""criminal deep state"" at the @StateDept and the crisis in #Yemen. https://t.co/d9nDLx84YM'",Democrat
RepPeteAguilar,"b'San Bernardino County relies on the Dept. of Transportation for critical improvements to our infrastructure. We should be focused on the career public servants who make that possible, not filling the agency with political staff. https://t.co/ieC3cX87es'",Democrat
